node1,node2,123risksum
[-73.98979085  40.75723313],[-73.98694874  40.7560359 ],4.0
[-73.91518091  40.82167009],[-73.91355331  40.82116886],2.0
[-73.95258512  40.80823802],[-73.94982429  40.80707527],3.0
[-73.98582082  40.75725747],[-73.98553727  40.75797328],4.0
[-73.89973273  40.84405582],[-73.90104033  40.84420608],2.0
[-74.07776501  40.64407378],[-74.07704028  40.64312358],3.0
[-73.77634073  40.6798974 ],[-73.77547502  40.68018158],2.0
[-73.93705117  40.80754497],[-73.93556209  40.80691711],3.0
[-73.76468301  40.66357738],[-73.76495892  40.66292747],2.0
[-73.94655555  40.7889962 ],[-73.94579427  40.78867571],3.0
[-73.92809776  40.67132185],[-73.92532872  40.67116872],2.0
[-73.99957944  40.61366941],[-74.00015898  40.61311038],3.0
